379 -375  -233 -500
-361 264  69 -422
232 117  -384 -1354
724 -425  -206 277
180 457  9 112
546 92  103 -648
173 146  1083 -637
-148 -37  -374 543
96 119  -355 29
353 72  145 177
60 484  -255 513
-880 -323  -557 -853
-768 468  6 -825
-76 -217  -52 71
633 325  -184 -601
78 -713  272 -657
-84 -253  -301 891
-650 -171  1419 28
-23 576  -774 269
-20 -5  -629 -240
227 -616  177 -698
-722 -138  -331 -774
-1001 63  -275 -594
-655 -403  253 -286
-722 -297  822 1072
-348 14  -50 116
288 -618  -141 255
-673 109  -718 -277
114 -2  -596 -499
704 -550  -771 -477
-262 8  -604 -387
-286 179  931 -171
217 869  -815 653
130 744  482 415
-560 -16  30 -121
-3 -551  -624 -817
124 248  -369 -205
486 220  314 26
4 338  -354 -165
17 -483  180 203
-908 -203  543 -434
222 296  -283 481
-585 59  273 -298
440 -1147  -117 -242
-375 -624  913 -366
931 -74  1011 1232
203 -133  158 -310
-803 -534  -293 -596
-170 -388  -636 644
439 -975  -148 -291
786 -592  -830 490
26 745  482 -213
-580 -590  821 -780
-960 723  -988 -306
-197 471  -712 521
-1216 -692  201 507
49 -276  -203 -238
51 -141  -357 -1542
399 186  285 -1187
-227 -257  -506 -207
-591 221  -163 -707
-252 -891  -222 -795
35 -385  -108 -92
-154 653  -413 381
-269 35  1271 424
-385 -403  120 -263
304 398  218 17
192 389  107 236
92 382  -738 149
-663 505  -397 -90
124 549  -422 -517
646 -610  1199 34
-654 -34  881 179
-503 -993  -970 -62
426 170  562 -217
246 430  248 -205
-810 -843  48 211
1173 214  -13 7
-614 -89  -962 67
607 426  521 299
136 -504  -455 704
-623 556  228 -147
-122 -72  94 -250
404 -35  -631 -234
-694 226  -219 46
82 235  602 -189
-45 -25  -80 185
-4 1167  -210 -571
538 -210  -642 157
65 50  -334 16
-407 1769  210 -16
-205 -418  537 -262
44 -213  1038 513
43 238  1094 -425
267 136  -518 -121
543 -257  -35 459
262 -331  363 374
16 257  -112 -92
-597 -42  577 18
66 185  328 131
-1051 1147  433 -142
-276 -226  394 828
226 579  -321 -423
622 133  915 -85
-312 77  489 225
362 228  -602 -118
-91 503  -273 179
-434 685  -38 8
38 1  -46 46
27 -119  -615 -107
-1248 146  1101 567
-162 188  -241 -91
1017 1495  289 -416
-232 155  -59 779
-285 -192  -36 -197
-281 -363  -567 1292
-1155 541  248 462
1134 692  -614 117
9 355  156 166
-253 82  -1212 -669
-463 -111  2 -406
-248 -352  -712 -619
594 103  -45 -475
331 554  -228 374
-475 824  -783 476
313 -615  -245 -346
542 -307  1050 -511
-242 -435  -219 -377
139 -886  -112 -587
322 -205  -422 -132
-24 1200  237 -59
-23 525  229 64
243 -246  -107 -204
-322 130  -418 339
650 -382  166 588
488 1260  76 699
974 -779  -501 -163
-81 739  384 128
-461 -71  218 -1000
-658 70  30 -630
-477 139  320 -121
-922 289  458 368
-380 670  221 178
-807 -580  -1102 -1362
-716 -136  -78 903
375 -248  490 621
-372 -475  481 28
-932 -452  -1022 245
-149 -50  -411 673
266 -1035  -124 124
-222 326  -89 -200
48 105  -464 -473
551 -214  -198 78
263 292  -304 -187
-305 412  -346 47
-289 334  597 369
364 -206  373 867
1107 150  -2 103
101 -444  624 -265
981 14  582 -272
-232 480  242 302
213 -360  -924 281
1197 553  -1075 -31
-816 -1146  -542 -289
-515 167  -1344 -103
1032 394  -306 178
404 293  -519 504
11 303  -1025 -866
-796 121  433 771
194 -568  -226 -646
-173 -23  753 -581
120 1104  -103 311
-44 -17  378 992
571 653  -342 161
320 -251  -377 956
-146 -166  267 -493
-221 -471  789 317
337 209  394 -155
-7 84  -285 412
-279 89  245 -98
664 -281  -501 -464
645 21  592 212
-360 -386  -147 186
-721 -1018  89 -755
-324 -366  633 152
33 -13  -315 90
-114 -584  -822 234
226 315  -597 1323
1144 382  -77 -589
415 -262  -763 -200
268 -390  -39 -176
581 309  -32 380
135 -231  -442 392
143 -5  -245 -99
467 -186  235 -568
159 862  -1130 -52
-377 262  470 416
189 65  301 -62
-813 944  378 136
-387 55  657 -363
-286 -127  894 796
-406 -1188  89 549
888 -687  -4 391
580 -180  -841 1178
-614 -52  18 -504
592 237  -37 -388
-369 352  -187 -605
634 -27  493 84
