308 -4321  -17 -7365
2537 2436  -2398 1809
-351 -575  8124 -427
-494 -650  1390 -584
-1002 2741  -1088 3657
2210 -1078  1973 -620
-992 -651  -5064 -3317
213 -641  637 3046
2134 5229  1579 20
-51 -2323  577 3602
1347 -1607  -4069 453
3569 -2592  2061 -1365
2500 3315  857 -1797
76 -1703  -2309 -1628
-4848 1221  1853 -2760
444 -2898  420 -626
-5701 -3876  1215 1536
6511 493  -420 533
1615 -2501  -2349 -1349
1208 5706  -1316 4510
3577 1622  1141 3931
1743 -1053  6578 -493
992 -3183  -3449 -797
-2810 -3352  1149 -2171
-2525 -332  2883 3695
-9553 -2091  -1351 1579
-1999 -1129  2170 -2513
-325 -1766  908 -2460
-1203 -1970  -400 -3246
-3741 -3189  2523 -1243
1524 2025  -1020 -1809
-2209 5796  1945 1000
589 -1535  1426 4634
-3100 5713  -1234 -787
5265 -6041  2856 734
3151 502  1830 4418
-5248 2358  5006 -1508
-332 1543  4505 3953
593 2528  5003 1328
-1486 862  -2243 2839
-1509 -447  3787 -1966
-1038 1079  1523 2668
2529 1889  1204 -833
-171 -3573  2143 -2175
-1352 1776  -478 79
2063 1241  -3294 2486
-8403 1792  -2829 2115
-2607 969  -1204 -834
-6059 -6003  5165 1287
-2248 -2011  -950 3750
-5145 477  -6614 -2103
1077 2510  558 932
3141 -923  -2220 -2096
2772 2155  4034 -3360
-5445 -1486  4724 4446
2116 -1473  4599 -3718
935 1627  342 -2231
3522 -7419  -5325 559
-2951 -3601  -1794 3762
658 -2380  1143 -2345
907 -113  -5435 -2513
-1815 708  3079 2831
4281 1758  -2407 -1537
2317 5552  -2401 544
1585 795  2798 3004
1580 -3241  -3557 -2190
1221 3165  2465 -2919
3271 5410  -3081 1628
-2357 567  2395 -3757
-2972 -1486  2566 -1031
-3793 -4346  172 -876
-2844 -4561  -1643 106
-1761 257  2061 1
-4171 445  70 3962
-7607 -2003  2963 -890
-4645 5493  -2429 1228
-3071 653  -797 -5483
5175 1250  2443 2560
2655 -2768  822 4256
2967 386  -1089 1506
701 2508  462 1767
-1037 4257  -1526 -440
650 -1470  2856 5912
684 -1015  1720 -1288
1983 1394  -2867 1094
2181 18  -4582 -1616
2112 -6299  -809 -4958
3420 -582  -1133 -1480
-657 2778  -20 -4870
4632 -647  -1718 2153
1256 -1206  3641 1508
-2462 -2610  2277 -2041
-3159 -2252  -1401 -891
5864 -3532  -2889 604
-2694 -1061  -1566 3990
-2689 -1706  1123 -4147
-200 4729  -770 -2738
3056 -556  -2092 81
1550 631  1015 1139
2783 -516  -1664 -6187
-2624 -1545  4278 -1173
-376 -3577  3573 -4
748 1251  2383 2640
78 -122  -2206 -3722
-4904 2093  -1363 503
2350 -2234  1657 -2929
-2358 -1289  8149 1526
-436 -1733  -1789 2625
-3364 3043  -1182 628
-2233 -577  -143 -3107
2648 -1761  1251 2923
2483 -1901  -1911 1267
-2669 2076  6522 2400
1613 -2650  6811 5759
-2970 3213  -1298 74
3918 -2850  1796 -670
-2190 -1747  -1851 5904
5657 426  1937 183
-275 3460  1827 5457
102 2627  95 -2477
3281 2776  -3640 705
-633 3969  1985 3696
-818 -457  2587 -96
4602 5515  3272 503
714 7727  3818 1423
1551 -701  -1665 767
-3681 4944  1612 2423
662 -6184  -129 -352
-1662 -21  -697 -5545
-959 -1678  -544 -8163
163 -4771  1961 -2633
-784 -4905  2665 1950
1825 -3790  185 2153
2201 651  -375 -1299
3651 -938  418 1301
1329 -1488  88 6159
-1016 3767  -2660 -3155
7990 -1233  1474 -1429
1381 -1601  -1696 841
-773 -1592  -1859 5729
3509 -1376  -2765 5659
-480 -951  -59 2622
-819 -5446  -4505 -5239
2253 -1267  -4990 -666
1180 1034  1093 4472
2786 1878  546 -399
1669 -693  -1916 4960
-1105 898  -3246 34
-966 -550  -1110 -1130
-891 -1359  -393 4321
5264 716  -73 -1723
589 343  -590 -3707
962 -4288  -5022 -2572
-315 4916  -2807 1585
-1657 -4563  -258 -385
-929 375  -5141 433
-4168 656  988 -1989
-2880 -3587  -4093 -1457
-1884 2840  -2591 3095
-295 -4216  4339 -4289
-3370 2984  -1531 5004
-2919 -1197  6743 -714
-661 -3177  -851 -299
2056 -52  -3759 2816
3155 -583  6880 2613
2920 308  -6526 -828
-2579 2783  -1922 5267
-2849 -1917  971 2485
6050 90  987 -6618
-987 1444  -571 1178
-5961 -2147  -360 -198
-6118 6578  1960 1810
-5191 2801  3461 -1701
1062 50  1405 -4288
-4139 3257  -680 2572
3083 -1606  2818 -3356
1451 -1493  869 1053
2855 -1294  1710 2717
1588 -2976  -5862 553
1527 -1160  -3599 87
-912 -1600  1503 -3314
207 -3213  -1723 -1277
-1667 747  1581 -3269
-5237 -1515  972 -2593
3123 -3231  1666 5118
-5915 -627  235 -329
1884 810  -1920 -1971
-3494 1035  2075 -2255
538 -1724  -2298 1995
-5454 1498  2664 -3855
4099 3579  -18 2836
-3312 -2227  3794 2826
1184 1395  893 -155
1792 -2562  1506 3439
-2571 707  -664 685
7127 6039  -1157 1790
-2866 -1619  -3262 -2985
767 1407  -243 3445
1212 -3896  43 -4023
1971 1505  980 1704
-114 -1207  7619 5415
-7811 -5907  3127 -2980
-3261 -913  992 -820
-126 1719  -453 -3956
-2080 2531  847 -1450
-63 -5358  -936 -668
-640 1818  -588 605
3064 -1387  -1967 -1710
1158 3063  -2931 -1563
-773 -632  -5829 2124
-1665 -223  3197 1568
-2571 3708  -1937 268
-2372 -1855  1583 -3585
1147 -1613  1708 -6165
-960 2149  5263 -1202
2892 2763  -996 -1644
-1178 1175  -1319 -1008
-1003 -2843  2897 1818
-53 2427  1226 4734
-3416 5640  -238 270
-376 -3839  -3265 2
1045 -3024  3592 1408
-1746 167  1366 -529
-3361 937  2100 -3408
-1978 1544  -901 989
-636 -849  1043 -3867
-6825 859  2761 2507
3820 5535  1400 841
-324 -2194  -2452 1757
2882 -1568  350 2182
-3365 -3500  993 -3643
-452 1658  -3746 1905
-2370 4264  3462 -270
-5904 3692  -362 753
-311 -423  2941 -1638
-732 2391  379 -448
-3476 3054  -4194 1896
-3862 77  -198 290
-3311 -5828  357 2899
4332 -1001  -8124 -72
1607 3905  -1765 -3760
5054 -1960  654 -354
-784 -1339  -1763 -447
3137 -4331  -1969 -3182
-5303 -2239  -1270 -1795
-3095 -3830  124 -2702
2011 -458  -142 -2868
1850 -4796  -882 -281
3473 -1465  2601 1570
1524 2562  -3396 729
834 -3387  -2190 -1233
-520 2193  1647 -1715
-2565 -2281  -5760 -3201
5953 -1443  -1921 -536
-1121 -240  -2743 1878
2201 -1146  454 -2198
-2501 -670  1141 699
766 1810  -5039 530
3736 -1775  -1484 2504
-847 -4323  -4528 3929
-2613 -4658  3627 -3214
-3773 -2477  -437 -325
-1422 -4090  -2070 -671
1122 -5103  954 570
-1073 -6678  -3619 -2727
-643 594  2554 3293
4236 -463  2597 -3304
-2855 5337  -2542 530
4279 -1678  -3128 -3574
-282 -915  1525 1229
1670 -1148  336 -1033
-777 -3667  -2318 -1524
-2982 3226  -4309 -538
2442 1107  -4062 2569
-1809 -1690  1989 2680
2386 -344  -2831 2876
1361 2573  2431 1853
3926 475  930 -1806
4979 3181  -2925 4448
-3486 5551  -1918 1846
-34 4468  843 1503
187 188  2054 390
3241 416  -596 -2404
-1147 -5768  2139 -2676
3063 1553  -880 3819
1622 1906  3247 -839
741 2489  -5857 0
3175 -4931  -2959 -408
-1397 3726  -1846 3239
1955 -1093  1087 1022
-5060 -5551  -2576 -1729
-1005 1736  224 -2653
3286 -2787  3166 5875
-1822 2594  -3857 -8101
648 -4975  3884 2123
-160 -2044  -2652 -2058
-7753 -3460  2647 -4993
6553 3995  -334 -349
6496 4211  208 583
1750 -3872  173 1133
4560 -1627  -1059 -6069
3142 2872  -4689 2781
-2092 1023  1351 -997
1202 8516  -3089 -5646
2518 1008  1857 -1730
4740 1979  -132 -900
178 -4248  56 -2457
1716 -21  -500 8
1150 -772  -1153 2989
1157 -3089  -2623 4797
1645 -172  -1473 2526
-2077 -5127  -1134 -3870
3762 840  1176 3107
3054 -572  3391 1005
-804 2546  6586 2482
-3246 3681  -1836 -1235
-3386 -1140  1119 1897
-1127 4895  -3041 -6567
-2815 26  -1577 2960
-1521 -57  -1214 2602
-5286 266  -3807 -4625
-2003 -893  -772 -4482
977 3660  -1866 1146
1362 2932  1174 -2235
1605 5775  3093 -1013
-2939 -1890  -422 576
-2627 -1588  1315 5362
-3329 2429  6135 -1726
5834 2372  -2726 4204
4569 278  8151 1616
-349 -810  -1256 1259
2165 1193  3079 1406
-1429 2243  1934 650
-191 -3103  7908 -720
4483 722  3265 -1886
-3066 -177  -1044 1526
4184 -4936  417 275
-87 3707  1697 -479
731 2710  -4666 1609
-3596 4029  3987 -407
-1583 967  -310 1214
3839 1055  2802 2489
1340 -1710  5577 3917
-5222 -1020  2140 1299
584 -2914  1123 -1825
98 -755  -3579 6500
5373 -1324  524 -2341
4577 -1093  -3732 -726
2623 1767  -2204 3786
-1401 1773  2047 -3160
2012 8456  883 -2915
-2174 1783  4431 -1797
-2411 -2456  1757 1304
-3726 -5326  4068 -1168
1218 -1115  -5316 -2291
813 -1487  -287 160
-409 112  4914 27
-49 7725  -1788 -2638
-833 -6557  -4858 -194
-98 -2252  2654 -3158
-2093 3514  3096 1959
47 2637  -559 -3722
222 -2787  -1905 -777
-1475 5201  3674 3339
-2031 5834  -1885 1765
5868 164  2928 5285
353 2239  813 -4009
2044 1802  277 -1369
4313 2135  -4581 529
-3058 623  -439 -2596
-838 2108  1007 730
-671 1644  -731 1713
1008 2880  6574 218
1419 -2077  5951 -3540
-6927 -5697  1757 1163
685 -1131  1004 -2236
925 5485  813 3204
-1929 -2506  543 143
-8422 398  2394 -528
-2284 548  -1419 1950
-1858 200  3520 3559
-916 180  -2339 1881
-1609 -197  795 4142
-2607 3439  6061 -4475
1122 5443  4615 -549
1620 -2308  -5937 -853
-1018 -298  -3836 2232
2764 -600  41 7973
3978 1837  -1740 -1701
-1447 88  694 -4186
1024 4912  -3 4357
-2856 -3301  679 -4457
-1532 -3075  3591 4118
5392 -1888  402 2700
2130 -928  -1117 5524
32 -6485  1812 -1518
-776 3443  -3692 2320
1294 832  1243 -1555
-2104 1178  -297 -2805
1368 1582  -117 -320
-466 704  -317 1504
1812 -980  2710 4359
4566 -4961  2519 -500
2879 -954  -773 1545
-1948 3554  3174 4188
-783 -3843  -4317 2085
1288 1276  2445 -3819
-160 1421  -267 1772
-3380 -1070  1776 4024
1582 1344  607 -333
-140 -97  2839 4408
-4521 703  3634 1729
