546 -11  884 -544
-1072 -30  -507 -679
125 35  172 29
20 119  287 138
-1070 455  -581 -214
-26 582  -12 49
695 -728  161 -644
-938 -483  -36 187
-1215 643  -197 -94
122 668  193 642
-370 -191  -512 563
-270 566  688 718
-93 581  478 988
25 -168  -73 -626
170 -783  -141 -671
463 869  327 -269
393 967  -837 -1091
233 219  217 316
-286 -370  -241 -25
157 82  -369 1341
218 -501  590 905
870 -611  -575 -728
-184 503  -144 312
-589 515  -141 -577
377 -276  298 -156
-302 -459  513 -261
-261 -180  507 -260
232 -546  -392 864
336 502  -262 -668
-960 396  32 -244
240 -100  -245 958
929 1099  1283 106
747 -270  -821 -674
816 524  366 -1020
-31 -705  -170 -944
-659 -110  -61 993
-470 -755  113 335
316 500  990 770
50 717  -28 -628
348 291  -255 466
166 430  159 -235
-708 -330  -129 186
497 -159  6 -343
88 768  -50 155
-234 11  1297 -504
188 18  534 3
670 66  28 -50
-235 -1020  237 -863
-767 -99  26 348
1161 815  -40 686
-761 -127  453 -626
-1010 326  34 107
-578 -966  -419 -656
197 -222  226 181
-14 384  -509 657
-1076 -188  718 -195
384 -700  698 361
186 291  -377 760
-343 -128  -324 -1148
-362 -1509  -409 -478
-579 164  136 666
-841 -691  -409 -217
-106 -536  -451 -280
-805 343  64 -442
-416 130  -9 94
239 -103  131 145
908 502  -14 2
510 57  -98 -117
-457 -694  -14 422
297 -18  1307 205
782 101  -732 80
-895 346  247 236
-389 18  143 258
-486 -434  412 343
-103 299  71 -37
-6 -580  -735 -521
-359 582  -1072 -648
-678 -233  -130 -4
19 -68  -326 -292
-1180 832  461 545
-415 868  -523 -246
735 -195  -194 529
-373 297  -438 -508
-26 105  674 705
-424 317  214 1069
155 -16  -260 840
-381 203  243 -286
-176 -468  -888 -8
115 -126  40 94
131 111  850 -170
971 301  -198 247
-251 -677  361 306
149 1002  167 -246
97 -97  -438 -328
-8 -922  -18 97
-881 -509  290 16
-1122 797  -171 -452
-780 198  96 163
326 -69  202 59
-493 -282  131 924
-320 -269  -140 -295
449 449  243 720
-168 180  264 72
-176 -148  254 -1428
864 350  -586 -141
1073 7  1004 -490
-876 -331  598 -4
-163 -148  -147 -12
-199 -272  111 -364
-175 -440  327 -209
-188 196  -6 -418
-67 -159  1472 428
353 125  -539 742
-283 124  -551 -180
287 -843  116 1594
304 -714  -457 -177
-1118 -303  -885 795
346 353  667 -418
938 -504  798 -615
-166 -213  753 412
310 440  -700 12
461 1179  -450 -139
-362 -402  -54 640
-265 15  -185 -1358
-582 632  -43 -166
703 88  175 27
-205 741  -135 -501
-373 748  260 -352
817 -184  -261 -908
-265 -402  -63 490
-32 99  138 452
-43 -379  -467 -751
348 -97  -375 -214
227 -445  -244 962
1167 -657  -706 -102
-629 118  -677 1022
31 -49  382 901
440 -566  279 -916
474 -149  -37 -115
-306 308  -243 363
-679 430  -476 -751
-739 1037  774 616
-169 -531  82 637
-250 272  -850 -440
-73 -134  -959 607
924 722  49 -386
1154 -248  659 347
23 -492  397 -58
-223 398  -673 -357
-261 211  426 -1007
502 886  -25 88
-594 -1269  395 -1028
-792 161  -157 177
-877 825  -369 -261
-846 -893  -263 -656
222 370  441 -455
-995 184  221 -789
-32 563  891 -217
-161 -336  -657 -226
230 410  629 563
609 490  989 367
-700 504  -450 353
390 452  248 -1151
-141 491  232 -518
95 -85  230 639
469 -324  -529 285
-200 -179  892 48
-413 -33  498 126
-115 -8  -1500 145
76 174  -104 190
114 -184  -384 -115
387 304  500 606
25 1014  258 354
703 73  180 137
-503 90  -200 214
656 -286  654 234
-385 897  -165 -251
-805 23  316 -23
978 441  -199 -228
596 -5  -313 289
585 28  271 270
1126 -550  -247 -903
1140 1285  -272 925
-87 568  226 -287
-193 -91  -164 -22
392 380  672 34
-586 -148  261 -427
-724 171  1290 564
908 -9  -105 -561
344 1017  -434 118
463 825  276 -356
778 295  112 -118
-117 387  -51 -1062
343 -562  168 128
953 -899  171 692
479 211  63 -430
393 312  34 -69
585 -273  -89 -453
-187 1507  365 329
-361 -672  -346 -325
-251 -139  379 931
-330 495  408 -1163
-3 -377  -70 -277
114 826  99 -767
-332 49  -381 378
-53 -100  -865 -580
-27 -558  -242 443
-459 481  -94 236
498 -493  465 -80
-515 163  -226 -468
-414 72  -505 -791
20 -368  660 -17
-200 595  -998 -878
365 332  -342 -637
333 545  -116 745
-20 -565  421 366
-322 -43  714 -418
138 -97  53 -241
-194 246  648 -491
98 79  239 -653
-108 209  276 480
-621 -29  287 -255
367 908  -126 -906
458 -619  293 -10
280 -1295  155 -938
4 -478  -477 -92
-281 -252  428 -573
142 -121  -885 -150
-33 319  541 -151
-314 451  787 -126
-319 312  143 819
64 105  209 531
201 1155  -418 941
20 -76  -401 147
326 -563  -830 -97
420 -678  301 -34
-828 47  165 -55
-1603 -433  -930 -908
471 -142  1023 614
139 284  683 -812
-128 1268  -332 533
658 -216  77 -238
-517 108  101 -457
-210 -413  569 48
215 -265  -16 -735
-55 -334  472 -969
-497 -207  435 107
-660 -855  277 457
11 460  -334 173
541 148  90 292
439 668  -333 26
385 -117  447 739
201 174  -98 -477
-350 289  -534 -797
253 -120  34 337
-279 147  734 77
278 144  -741 441
-70 1049  -73 1022
436 -921  183 405
-948 -266  -430 560
280 -703  -722 17
-640 230  -534 -207
892 601  -371 590
998 162  560 178
298 581  -221 762
26 585  718 1085
-117 37  -357 -429
-601 -214  -640 738
103 637  191 716
-37 671  348 588
-47 164  558 122
542 331  -390 -1273
-284 -272  -162 -690
-154 310  -786 129
-697 110  -435 -539
-767 -543  -458 265
-39 822  -474 649
102 756  -210 -177
485 -513  -593 465
448 212  -34 580
281 -364  733 440
-588 -938  -630 86
219 -12  -1094 275
183 -686  615 -108
-102 488  -382 -307
716 940  228 309
212 -165  339 -643
951 173  -69 -244
-243 655  -65 1030
-786 399  -130 -18
541 -636  -73 332
-299 -478  48 226
364 731  202 1190
-432 411  -356 545
-476 -1074  -396 -816
-276 -82  -587 -88
-313 -6  -193 -367
-213 -292  125 -820
-2 146  -674 652
523 -120  725 634
-152 428  -220 935
-12 -77  -110 257
-413 1058  -505 -222
259 189  -562 393
-216 -171  174 -214
891 -526  -680 301
-261 -549  168 -737
-31 -531  -45 -716
-342 407  493 -475
-1095 -274  483 -29
-321 -939  -207 206
491 -162  463 321
421 522  39 -56
755 -567  -661 -383
-171 -1006  -108 -284
-321 337  382 602
331 392  -446 -230
48 -724  355 -462
-85 781  744 -303
-614 -845  203 28
109 191  813 275
-529 -178  -65 408
-2259 -69  46 34
-919 299  -1136 -809
-460 -566  -98 -796
-797 759  -401 -248
-97 962  353 -269
-862 -989  -333 -73
-793 -342  -274 436
