-1757 1697  339 -1025
3616 -1549  524 354
-1029 5688  761 4179
-1116 -2173  3060 -2940
-283 -1519  2792 -1886
1015 -1704  523 -6396
-4624 2058  3055 -1927
-130 595  -912 2038
-4019 2551  2920 2307
-839 3879  -802 2390
-3913 1434  -1394 -66
1794 275  -1378 2614
1211 -2725  1199 -505
3603 2198  8182 -6241
-242 4160  3408 1508
-3992 -4753  5899 -4868
1637 2032  1604 3496
-1082 -881  2003 4616
-3000 2390  -4017 2452
831 -2095  -1568 1425
-579 752  -4307 2898
2248 7165  -1557 3912
60 -313  -2884 2146
1411 3722  4227 3204
1169 448  -722 -167
-3406 6272  5609 495
3420 1064  -3732 5971
-1427 -734  622 -7005
1105 -1052  1774 -1756
-708 -7384  -1940 -1010
6780 215  4389 -4152
3862 -546  755 3363
3765 -2377  1774 -3710
-3072 388  1514 -1046
-833 -2353  1860 -2252
5684 4116  1310 -1598
-2492 -258  3156 3231
326 3002  -844 4535
-1015 -2616  -3380 2180
3235 3339  2518 697
-667 2329  129 358
4923 1036  7839 287
445 -793  -542 -5137
1940 1131  1222 -2173
4974 -2354  -5241 -1874
-2297 207  -3084 -887
-2505 3750  765 3491
2197 -5986  302 -7301
-5897 -3119  510 -822
3445 2651  2033 -1709
5723 -5551  -6710 5241
3509 -7848  -585 -4218
-1294 -976  -3117 13
-1761 4038  -838 1793
58 2788  3993 1230
-298 638  -1387 1288
-4731 -2567  773 2919
956 535  2242 1955
-3913 -4749  -4279 -2488
-2887 -2398  1759 -593
866 -1370  -6128 -1387
44 -3276  527 3891
-3132 2736  -3291 94
3185 5683  -3919 2410
-2572 1448  987 -4758
-367 904  1944 1087
-5290 -3203  -3322 2030
1285 -1512  -10 -1164
1231 4551  -1672 -1662
286 992  2165 -55
136 -1072  -3703 2980
-2856 974  3084 2195
-1856 26  -799 1022
-4343 -2227  975 -4495
-4050 -279  -2284 280
-2151 -3798  3327 -1612
3137 -2545  -1975 1317
7540 1356  262 -1595
-3704 1362  2343 471
694 5392  -1755 5750
-700 2305  1024 984
-175 -5424  658 4520
1813 748  364 -203
-3808 -1514  -1087 -2504
-1819 4594  -2737 5322
4216 -152  947 8028
-2005 3857  -3204 1597
-504 2239  742 249
-464 -1917  -1909 1352
3138 -207  1075 -3416
-677 -1288  -3771 1865
1972 894  -111 -2099
1519 2778  -814 273
-2011 -473  3857 602
-2267 5411  1326 1346
-3028 21  -4841 -2012
1637 -1388  400 2377
1128 161  -1664 5013
-683 -376  -2861 3703
3177 4678  -1102 1261
-2990 4213  -2687 1535
723 3632  -7198 -4618
-34 4300  -5001 -108
712 3575  -2608 227
-5667 1506  -4750 -2068
-1443 4611  -3414 -604
2843 -1296  -3757 590
-1611 -1583  3950 2922
288 -2003  3144 -2242
-2468 -876  1672 -2730
-1610 -108  -352 757
1870 -693  -5549 1137
-882 1782  -2682 -135
2959 6078  -3848 -4999
-729 2241  3328 1542
3601 2721  2287 1827
3580 -40  1067 -1455
-2161 -3451  3702 -3950
-1204 6402  187 527
4916 3379  6479 -387
1578 1150  -5634 -1735
-3772 -612  -1690 2545
1155 -1891  -2960 -313
5612 -6415  3 1096
-5792 -3348  -2485 1415
6498 2160  2378 -4343
-6002 856  2044 1923
1251 -1973  -1486 1403
-2352 51  -2862 -1690
-1294 -1622  3430 -106
-4500 -3497  -513 -4153
352 -295  -877 364
2076 -1319  434 -1369
3447 -2274  892 4285
1401 2247  4035 945
-203 -3193  1680 6227
3136 -2441  -4193 -1524
3292 -1673  4701 1906
1264 4391  4092 6643
-3350 -2116  -2134 486
4968 -843  2792 -1354
3823 5530  1784 -5922
-1857 2211  -1714 -6793
3366 1116  1028 -103
-794 -2300  4902 690
-846 1788  -2696 -2287
-296 3537  -3296 2583
7211 -647  -5122 4328
971 3391  899 -5352
-2958 629  -464 -1254
-6310 1900  1982 2014
3362 -1163  5038 744
-2804 5016  2762 -4841
-75 -4123  4045 306
1436 -883  -3686 -4417
-607 -1922  -3098 -2903
-3109 -6035  4232 -3929
-1473 -382  2633 -758
-5758 246  -330 4715
-1790 1380  3703 5639
2966 4407  609 1512
-981 1418  4987 317
4465 4962  3061 -1418
1779 1471  3865 1329
-1534 1135  -3203 -3008
1198 -272  -1344 -1839
1440 2263  -1564 -6139
-3991 421  -1964 322
-62 579  -503 3214
2788 -2452  1222 526
-2937 -2616  -3821 5659
3688 2846  -1035 4137
290 239  2559 916
-81 -5310  3542 -930
284 319  -138 2688
-1408 -1698  5311 682
6055 4151  -764 -184
-5517 2333  1809 -342
-1890 -671  -1311 8134
-619 -774  -2584 3118
966 3048  -290 -2761
667 2508  2967 -2295
-2674 -735  -3982 -1203
56 -3165  2361 6064
3005 6103  -295 -2586
-4840 6379  -2107 686
-588 -3473  690 5946
540 2852  -1186 -643
1614 -390  6204 4801
-5863 -3229  -3127 -2093
832 -1433  -1493 -1659
-992 -609  35 824
296 -1301  825 -4797
-3198 -3690  -262 44
-3697 246  -6473 1344
1548 396  -4851 -1802
4830 -985  138 323
-2259 -523  -1842 5041
-922 2111  -22 5829
-2240 -1604  3793 -547
1198 2677  1435 -2990
-2673 -1432  -1928 5225
-961 82  -918 1495
6946 1746  -12 -511
-4608 737  6711 -2901
-2486 537  4723 -239
1408 1305  1481 105
931 3666  -654 2798
1626 -3319  -749 757
50 -211  3001 838
2790 1891  3645 2270
2384 -4211  -1441 -1008
-387 4170  2512 2050
-3060 -518  -1295 -7329
-4284 -3080  5256 -415
-1396 -6160  298 3355
-1860 5189  1082 -1897
-140 -830  -151 2606
446 -2519  -1396 -2478
1503 1140  4025 -742
461 2116  -66 -1090
546 1431  -811 1902
152 -2304  -635 -2061
3985 -1361  -153 -3956
-817 -2249  2644 -8988
199 2799  2537 -1597
-1037 4376  -5343 -2022
59 -4204  1671 -7423
2949 -1393  -736 -2422
1729 5075  561 3835
-2210 -301  112 -3410
3083 3187  -3471 889
-1805 -481  526 1811
264 -5978  -1336 1840
-369 2682  -412 -5733
-131 -1146  428 799
-1059 2447  1652 167
-763 -3492  -889 -6342
1308 -3273  4366 -5362
6297 -289  -1046 -5241
1596 -149  -4391 708
2571 2804  1419 2782
-126 3486  -733 1573
-1301 -1323  104 -718
-155 6112  1445 253
2830 5894  -115 4031
-3656 3047  1274 -1091
463 1841  554 -1380
-1582 1619  -476 4809
-519 -3626  -1238 2086
3618 -4226  -3063 -1355
-2445 1733  -1863 -1393
49 762  -1303 893
-2603 1540  -114 552
2648 2445  2623 562
-3262 5689  3652 615
-528 8403  -3456 -509
4220 3631  -268 -3469
2789 861  943 1169
515 -491  2167 -1191
2786 -969  0 -6721
-860 3108  1445 231
1797 903  3402 6194
5450 774  1282 2821
3314 -2227  -2056 -1855
-2208 4889  2744 1185
1845 2119  -562 528
-2434 2082  803 821
2920 -3047  -2494 -1537
-6976 -6360  977 739
-7251 -771  -6657 -2181
3837 -1305  1410 -3216
-2446 808  914 2163
-852 2773  -200 -335
3909 2441  1409 -252
-3839 -3023  -2839 360
-2006 594  -5924 -2818
2095 -5055  1771 3033
-4087 2  1290 1242
1131 -3954  -646 4632
4378 -172  -993 4896
-2291 -308  3511 141
-811 1545  1201 -2655
-3604 2796  -885 164
374 -854  1077 -977
4704 -493  -5955 -1730
-463 1028  -822 -1367
3761 -8302  -1949 -5026
-4701 5115  -946 5448
-4338 -5855  -1215 3640
3136 5920  2428 -1635
-2485 2095  5478 2744
2147 2429  -2628 -1581
107 -6428  -2362 -387
-803 -3098  2879 -2318
1688 3087  1800 -1055
841 -2611  -1388 345
-590 3099  -2839 -477
-1260 2008  1544 -509
1705 -491  -26 4211
-1063 275  -74 -1171
-147 1432  -4472 -3244
-1049 4426  1168 2580
-2084 -1019  1772 3984
837 -6286  -2260 -409
712 1050  355 -1041
498 3765  97 -5749
1988 -3328  937 166
-2523 2372  -2442 1085
-5346 1984  804 -714
625 4568  -143 678
2879 1803  -1222 -846
-1877 -1424  -1475 2340
2073 -6662  -5383 -5311
-214 -187  5286 -2720
-1879 179  227 2542
987 3086  530 3983
-2164 1940  -2369 -3634
3219 3306  -4569 632
3464 -550  1435 -2090
-8879 885  -3762 3776
3192 1794  2313 793
3985 -7832  1007 -601
1421 -1016  3320 -506
-2159 -1873  -3700 -4243
1015 2522  5067 2141
1041 -1611  4302 -2901
3117 -5504  -1345 -1959
-4933 3111  1692 3449
-3199 1090  -1440 5614
5195 272  -1028 5043
-1578 -236  -4121 538
-1537 1337  1876 936
-4376 5595  5678 -357
-1129 -937  3213 3219
-2120 -13  1360 -6417
-7688 196  -4007 -765
6297 -2111  -1365 868
1578 3226  3502 -1209
846 2508  -87 -69
-471 -4273  807 5205
3806 3415  -202 -246
2645 2169  -1093 -197
765 -3862  2467 -4807
-3048 -3542  -18 2450
-1840 -2856  1254 -3248
2414 680  4440 -2965
1974 2700  270 -6
-1101 -2765  -2733 431
