884 -457  -206 163
273 107  485 -200
225 151  520 289
-709 1105  -758 478
-877 315  122 186
-5 36  -511 -277
278 -130  702 -133
382 -85  -366 26
561 736  -190 -540
-169 413  40 839
-724 625  17 -412
-124 -183  -170 210
-22 -15  -53 631
266 -899  -351 201
676 -165  736 -513
523 49  -188 522
226 367  -284 -390
-692 272  227 -269
19 550  256 -519
-264 -171  -62 -309
459 -143  -413 19
296 -200  195 95
109 -731  -255 -116
-737 -451  721 -11
-651 -611  -859 421
-371 -93  279 -170
312 633  885 124
-164 -768  -860 -594
-683 -608  414 560
-601 -118  -551 915
150 620  -487 898
-326 284  456 156
334 61  330 883
-1180 -314  -114 4
155 276  401 16
-272 -555  -850 -451
66 568  898 77
-492 -90  181 460
167 249  219 575
-1294 -156  -174 -500
-372 959  -298 83
-432 62  -154 -194
383 36  270 583
102 -520  720 -275
25 -185  138 -634
-504 569  733 -432
336 637  582 238
436 154  -724 277
280 225  164 1073
458 245  459 231
637 144  -671 -311
43 -392  419 -696
537 78  -89 149
-653 -341  652 -156
449 632  295 310
670 -195  500 -147
-164 -139  -686 -453
477 0  366 650
102 -250  -110 -901
-356 -372  -203 624
237 -35  118 130
-426 230  -318 -540
-102 500  604 -213
327 -895  -583 340
332 124  -602 1322
-680 -198  410 102
-220 -6  714 114
-20 -713  -512 -379
-391 -421  -197 598
1256 923  -255 -254
58 110  -1 -272
-457 -87  423 -786
-779 351  -427 -231
290 251  -74 -455
622 -543  -665 184
-15 269  -352 364
433 168  37 121
680 820  -635 343
141 541  317 -388
474 686  -517 591
-689 -531  1499 -264
57 663  415 -425
930 218  -802 -23
26 342  -857 -685
21 502  133 -26
-419 -526  589 308
1006 221  598 -842
-446 262  363 152
-146 -301  1359 592
94 154  -71 66
-580 -486  -421 -99
274 169  289 -187
900 233  -522 74
-750 -899  -1 -93
256 61  226 3
-229 525  366 743
-721 -71  917 -399
-397 -103  291 -103
-23 622  -1055 62
251 -204  566 219
-853 -324  -244 -316
550 113  217 -608
469 -602  927 -29
402 -467  -86 -207
-49 -712  -483 944
-220 681  175 -152
-113 191  293 132
-3 -172  -595 808
103 -1286  400 61
273 -261  -158 -250
-1420 1240  193 -4
-134 -784  474 432
384 -171  -690 151
116 397  -128 -314
-612 33  -661 7
321 461  293 -165
-797 1077  -48 483
839 -88  177 161
-95 1031  44 -373
440 -38  -46 195
-591 1104  805 -399
-741 -214  -240 -490
-302 534  -48 131
95 -296  288 786
284 602  -100 -120
-481 404  -179 -383
-19 162  -288 -79
54 113  -154 134
-110 -176  -456 71
208 92  -986 -313
623 343  -305 -311
-856 57  -390 -645
165 -131  -271 329
-594 -410  -164 484
-36 -335  206 -1099
-1690 126  -236 507
150 394  300 -202
15 -783  292 1053
-150 -298  496 -125
451 11  -363 35
350 -109  399 -119
54 -852  -372 -14
870 -810  250 -30
-1210 -909  65 123
-463 243  -131 -248
-467 -924  -550 -572
634 1135  325 -431
886 154  332 -774
228 408  283 -768
-413 -93  -133 546
-760 -128  503 -58
291 -580  -175 -487
44 -496  98 190
505 610  631 -453
