2899 1062  -2731 507
2331 4522  3476 1512
-3591 2856  5053 929
1217 -1896  -3270 -2244
3211 5626  -1711 5964
-2650 -3971  -3272 -2122
3099 -1284  6147 -1904
-4760 -619  -1840 -602
3234 5985  -800 2052
2226 1025  561 309
-1976 815  122 3976
-6520 -1073  -495 -361
3771 6375  5060 -2281
625 -1363  3188 987
-4403 -7031  -984 421
6355 1263  -2068 -6611
1596 -2756  4546 6322
-2343 2541  822 526
-1180 -2414  -4954 1516
-369 753  -3806 1656
2187 52  -2562 3835
1851 926  2236 -7211
-2463 -2214  -1402 -1649
-75 -4916  1244 -1023
-3410 -2949  1455 -1576
-3879 1260  -1523 -3104
4394 -3883  -3717 -1670
-2821 1340  2509 3870
-4843 3076  270 -1349
-479 2982  -3672 -478
4199 630  -2186 -1957
-5389 4140  420 -5620
-2773 -527  -603 2706
-1426 316  -2738 -4919
-2975 -3263  849 646
2390 3154  -428 -2369
1077 654  -2374 466
-4822 -1021  -3250 1695
2377 5940  -3708 -1668
-348 -841  -1376 -657
2305 -3165  -2610 -3621
-3302 -1502  -1831 -1182
2127 3195  3422 3927
-254 4408  -2409 2236
-320 -975  1050 2623
648 -461  -2795 6541
-946 3427  142 2699
4706 505  -141 -4959
-328 953  -41 2147
761 3068  -513 -5087
5434 365  4455 527
1289 -2310  287 2113
1062 -1811  581 699
2181 1650  -1592 -5305
926 2611  1877 1383
5275 -1130  -2286 3295
-4904 648  -377 -1673
399 -2835  2350 -327
3638 -3988  1335 -3847
-1429 2811  -540 3123
2903 339  -259 -2265
-2702 -240  -622 1911
1895 -2259  2123 975
-2668 228  -382 -289
-744 -2316  -605 -5126
-115 949  194 -1858
-1296 5546  3387 2062
-157 -2715  -5368 -2886
3289 -1284  1671 -824
-1547 2498  -1340 1100
-997 -702  -2407 2126
999 -1268  4060 2554
180 -756  1093 -852
-3993 -1793  -1610 5588
-1204 7106  3921 -2476
-583 -3797  3140 -396
-991 4473  594 549
2167 37  3027 1220
1721 4861  5280 -2171
823 2157  1203 6594
-2178 -1001  2602 -1184
-1312 -5161  909 3129
3124 841  -2226 1726
2682 2501  -1009 4685
621 -949  1542 -456
1779 3357  -2492 2607
643 -1387  -354 -2492
4337 -817  -4780 3809
1446 2145  417 -1018
-800 1335  -1366 1079
2338 -1759  -2635 -3806
208 -2089  -2472 401
3008 980  -2194 -3906
133 -749  -2694 -768
-1408 382  4638 5352
-749 1975  682 -3906
3205 -3330  -761 757
-2270 -157  -3427 -2931
-593 326  -3283 -1309
-1026 3253  1035 5343
813 3353  766 2914
4069 -3219  -3438 -4616
297 -5359  -2176 -1040
349 -4535  3864 2262
-1020 5654  -1753 -3680
-842 658  -1087 -2825
-2478 -520  2121 1508
360 1088  1619 -1979
1784 -3941  712 -371
296 1141  -1746 183
-4056 -525  -3808 -1307
900 -83  -3506 -3825
-6112 -3237  -14 -1049
-1215 -118  2090 6274
-956 3893  1730 321
4375 1058  1774 -1382
2705 2758  -2706 -1526
1961 6710  2062 3140
599 536  24 386
-3209 -212  1660 4064
-1592 1089  122 -1250
-742 1915  -3878 4826
2146 3887  -2802 -392
-2748 -2267  -2818 1216
-2747 -1970  2999 40
-1957 3462  717 4842
515 2712  -3481 -1444
657 -872  2001 3478
-4465 4176  1049 -690
1101 -62  1549 2253
-2193 -4500  927 4724
-3531 -3142  4483 -231
-5593 -6523  -843 4062
-6285 2427  -3391 -2488
-389 -15  2211 -4938
1787 1995  -4737 -520
464 1079  -2344 -3563
4048 -339  -2032 -3486
-2260 1667  4826 -941
2512 -2067  -1486 2242
1884 -1733  -2277 -5413
3949 -3044  1408 -2732
-2700 469  2129 -3279
-1509 -6572  -2372 864
2567 -299  656 5057
2356 -2860  -2342 1033
465 3777  1368 3133
-3124 -6286  2774 1309
2292 -2455  -3576 2308
-3454 -763  -1058 1265
4660 2033  -1314 -1668
-4202 -3455  1420 -409
2532 -2290  -2813 576
-2575 2265  -1630 922
3238 2738  3789 830
-2003 -2521  2798 4072
-1503 -1146  4113 601
-3171 6624  2111 1904
-2529 3964  3499 -3551
1063 5118  3497 1974
4262 -2293  -2145 4238
-2418 -385  740 -908
-526 2943  2901 -576
-118 1099  288 3578
7002 1922  -789 -1023
-4845 -497  -2316 -3055
2140 4938  1113 -451
5459 4385  2796 53
-3113 -46  4366 -3067
935 4738  696 -380
-2593 -3750  6688 -5989
4707 7350  258 2400
0 -278  -574 3676
-2876 5548  6221 -5597
-1732 -5350  1200 -6442
