-967 -544  420 310
-290 -273  -202 626
-290 272  463 -424
-23 -1  907 -136
-459 -114  1359 642
-670 638  464 -186
631 816  275 313
-198 -204  -536 350
-40 894  -378 638
764 98  785 704
188 1061  306 600
-587 -531  -260 15
467 148  751 -160
-11 93  176 524
874 665  -733 425
-343 142  1519 82
847 39  642 -1285
7 210  -168 -609
-194 598  255 -355
-431 637  -711 186
1050 593  256 -454
-1058 97  296 338
97 150  -140 -150
-366 701  -433 -227
600 738  -988 -295
-297 -207  -574 246
-168 600  -475 -549
321 -421  -350 -143
-541 -164  278 443
-555 226  -640 938
493 514  -165 454
-312 -202  -529 -370
-137 -124  150 59
248 -735  -512 547
-238 518  418 -173
626 281  205 -643
-766 27  -227 -697
289 -1179  713 -934
9 1033  -300 -169
215 -1168  -213 647
682 -182  -63 -559
272 -350  125 205
-545 -1132  -227 296
737 -359  541 -271
252 -1096  -193 -450
-474 -273  158 52
-174 -498  197 714
-100 -368  732 -196
363 546  -30 150
-1195 -283  -435 192
120 2  -553 -560
-514 54  -541 -86
-183 194  -130 -82
1044 367  -358 -750
-701 -375  -354 -31
154 -479  -133 -723
-1140 222  297 175
-45 12  666 696
-245 504  -1608 -662
774 671  577 -2
420 176  -672 0
31 -424  1228 403
-328 -165  -19 3
-36 21  -255 627
418 83  -509 -26
-718 -1241  72 -349
-51 -332  -48 -116
-338 -75  396 101
92 -652  -231 -59
-45 414  197 -112
1049 -859  69 166
196 457  -1197 -137
-19 -202  9 -471
-215 -693  537 -646
141 -1168  -493 454
-487 -401  372 309
-253 839  -361 1302
426 294  266 -715
-119 -537  722 197
-469 -14  -360 -1127
124 -527  -137 201
263 382  185 -398
-181 -106  -1119 -445
741 -2  714 -564
512 848  -136 -418
277 384  28 45
-740 417  -398 -315
-682 -1258  90 -233
-538 -145  222 1000
-514 305  323 -701
170 733  -373 -456
208 23  -577 -35
-151 4  440 619
-40 -287  483 792
681 -894  -773 435
638 -636  507 337
753 -24  -19 495
409 317  41 -587
877 48  -480 -1302
28 -211  193 39
960 397  -450 -606
602 339  -255 1223
-756 534  270 -132
258 856  -829 497
136 -47  837 1143
481 -708  -371 133
76 458  -1191 -366
-27 -47  531 677
421 -51  367 -383
-268 100  83 450
871 -5  -359 182
-640 -263  679 -1035
-454 -1301  464 -170
-410 23  -387 597
70 -721  509 -453
-441 -515  -346 -640
96 360  477 566
-450 242  -853 -2
-225 -7  -465 725
-49 36  265 -72
-406 -60  -1237 -136
223 -192  -179 -424
-826 140  -76 234
128 -217  393 457
-343 -1014  -410 -277
-366 167  -358 -272
28 679  -614 -598
166 -274  -2 -235
-374 529  -823 1444
-254 -274  576 -383
151 597  -273 652
337 -135  -678 897
-795 -456  -18 -1316
-248 -509  627 73
-100 -256  -83 -646
-572 217  -220 -752
-462 -47  -572 314
-51 882  427 -162
277 -208  81 597
513 -916  36 -223
287 409  68 439
-797 -472  149 17
275 11  348 -205
150 533  -216 82
539 -279  -563 445
-9 -118  92 -48
245 -299  -786 77
-697 551  848 22
-280 79  -111 -563
-223 320  -282 -1010
-600 -939  142 843
-10 -143  99 478
-285 -656  -148 -64
-91 -822  258 352
294 519  -100 -264
-496 -460  -805 -5
-341 -29  16 -228
230 -153  -306 -1283
61 -573  279 246
