-1867 -2337  -1080 -1124
-647 -2440  2661 3000
-3949 -539  3877 -5688
-2737 -946  1030 -2647
-5012 2024  2009 -2333
-3024 191  -1735 3098
431 1634  -522 -2799
2283 3289  -2703 1552
1276 -1668  -78 2993
-2747 2402  -17 -3303
2345 -2780  2722 3789
6888 521  4659 -706
2476 407  -4362 -3714
-5043 3330  3252 2770
-3498 3022  -1941 -4149
38 1706  -4090 -116
2311 -1915  4826 -1636
-1896 2391  -3412 26
1692 3869  2006 913
-1373 -2403  1047 715
1632 -2584  2663 -985
1018 -2021  568 -4063
4636 2904  409 -1785
-3159 1938  -2958 3036
-1020 1048  2428 -1840
-703 -1441  586 -1928
-4977 -2762  701 -801
-567 359  1247 -931
-701 -2936  -2252 196
-1811 -1797  -2255 -286
-111 -2182  985 -2050
4270 300  -8005 1132
1968 2446  -2872 -848
-1792 -2693  4207 3273
3291 2263  1587 -756
-330 40  -2699 1818
-3105 -5048  691 2489
1876 -399  -5057 -60
5260 614  992 3258
-1947 -4148  1011 -571
374 3504  -450 -183
3330 452  1414 -593
-5876 4190  -3364 -1999
1161 117  2028 6168
2712 -1586  1293 -638
-8206 2413  4487 -90
378 -3351  340 2952
-4317 -330  4145 1574
8853 99  -3388 749
102 -399  257 -2880
3481 -825  228 -880
-2531 -1394  -4762 2858
-1827 3442  3017 3698
-1035 -5280  -3590 1730
-944 3422  -2418 -308
1577 1719  4756 -2270
-653 109  -1933 2226
-962 -3454  4479 2702
-402 2280  -433 -10661
543 -609  209 1632
1523 -1288  5153 -1006
2452 2442  500 -1784
2949 5422  -432 216
-4711 -1621  4278 -638
96 3311  674 976
1673 135  833 157
4592 1015  1976 -1362
-3645 1870  2337 219
-1448 2352  573 -4538
2342 -2659  -293 -3352
3689 1849  -1274 -4720
2990 -7091  -2091 206
-4141 276  282 -398
-3452 1550  639 -1407
2018 -1632  -938 1878
-3704 1846  -2055 2600
3220 2960  182 -3260
813 1397  2142 -552
-1759 -983  -1085 466
-291 -2422  184 -2236
3520 -4189  -2022 3508
-2644 -3736  -852 3617
-3231 -5439  -3525 1157
127 -1280  -1757 121
-589 -1391  -185 1312
-288 -3389  -8893 -2376
-5412 4545  -1735 -1794
-7 3794  2926 1331
3305 -957  -2484 4203
24 -1706  -1672 -488
7827 -1368  -984 3213
-758 2713  -1907 -2690
886 -648  -209 2318
1543 3032  3442 -1370
-3992 4219  -2223 -5164
-4798 1888  -890 1269
1240 306  -2395 1834
491 -3744  -2741 4491
-1143 -3156  -889 1073
1165 1220  -504 -2386
-1813 -195  1135 -163
-3823 -1092  -249 -2154
-796 3805  -2505 672
-2651 781  4766 -613
2189 1638  -1712 -71
-2671 -2116  4554 951
-1896 796  5137 -3448
1254 1967  480 -5205
5800 -4382  1316 -3895
-210 -2200  2779 -2511
386 1429  3900 -8736
2836 -3264  -439 94
965 85  -1569 -1726
-432 -2682  4594 2573
2015 3030  -2240 -2504
2275 1673  1848 -441
-1276 898  -1406 -556
1674 -4776  1331 -2261
-1585 1592  -555 -85
-387 3020  -3812 -657
-30 8932  3488 1939
-3545 -886  -5707 385
1935 41  1982 5609
-390 -1272  612 -3500
1395 1081  5 1045
-545 2220  -466 1747
-2489 1158  3158 1555
3038 327  654 -1332
