166 278  -169 381
-405 -263  328 -543
-567 506  263 413
5 -95  -681 -354
-408 1308  1288 -210
617 1148  812 -680
426 -66  536 753
232 -80  -73 60
-848 -546  535 -36
529 459  -175 804
210 591  175 129
43 259  919 52
484 -592  9 -635
-837 974  -698 -548
-587 -114  158 683
-482 32  50 61
-550 301  464 -97
-432 95  419 -287
-53 -255  -283 -343
719 -877  498 -653
-271 541  189 251
-341 -370  334 542
-944 -284  -313 225
-3 -589  836 141
356 -446  394 -241
173 -637  746 -616
649 -175  -684 -371
284 -327  3 455
-283 100  1767 -824
162 -360  -314 97
-275 45  446 -114
700 -45  -897 247
-327 330  481 -91
-758 102  -533 -1105
-958 -239  537 -117
-126 -674  6 -21
594 551  62 -400
373 -288  -640 1197
273 -180  324 567
118 792  1052 -125
67 986  -502 -599
783 -607  939 -831
193 374  515 -223
49 -481  -47 662
467 -46  502 1184
-273 573  -632 -182
-989 639  218 -530
-500 -349  -448 -687
351 644  76 629
-200 916  279 89
-23 -598  32 -628
-452 -312  701 -600
-828 412  -422 355
-163 22  -535 -606
-156 -265  898 180
-48 658  -113 -686
866 -88  -471 -121
292 409  -266 -915
-176 -863  401 314
28 21  -733 414
461 -682  -3 239
-124 631  423 232
304 -184  231 -1055
994 355  256 -13
24 1212  -95 25
-228 233  69 184
-19 669  -66 -780
-208 -495  81 201
514 592  -214 523
-161 -564  281 -787
155 -1056  637 75
141 194  -643 219
1121 309  14 321
140 766  -109 578
473 178  -452 5
-225 675  -74 153
-51 196  -567 -169
737 750  -656 351
39 -388  -102 -56
172 540  -137 561
71 285  69 -249
692 -498  -388 498
-561 1029  -332 -523
654 -444  -311 527
-366 79  -539 -458
-137 251  -500 -49
807 -9  314 -354
260 127  -1052 -806
303 392  458 132
675 71  -1000 743
288 97  -166 -830
69 -215  467 -105
165 614  -76 -627
682 -212  193 -91
-833 23  215 16
-502 149  710 162
515 -146  -346 -126
479 -636  177 -138
-17 -338  73 262
132 151  464 -554
-414 246  -296 813
-301 321  -209 54
171 348  408 -60
-398 -426  212 141
-806 -45  -625 373
204 757  457 201
-159 -353  -187 -260
55 44  307 130
-41 221  -327 -390
-335 592  60 -187
-288 -740  280 135
-15 -494  -201 -518
-457 620  -956 254
676 264  -851 -149
-333 -169  762 85
-462 -1019  -936 43
-500 -250  -740 638
730 -40  877 -153
750 -591  -550 -262
632 -320  -61 177
406 825  -193 357
-460 9  -449 491
1103 -573  -341 -599
417 907  528 -85
71 -815  -308 -391
-456 106  -777 -192
993 100  -553 1011
491 -22  306 -259
-135 -162  -25 529
179 1168  -517 -250
-32 -955  -221 537
-792 -198  486 51
-248 -125  -653 -393
-223 105  606 -817
65 -136  -74 -552
-46 -27  202 -795
196 797  -729 -152
-183 265  -199 -234
-564 498  -401 80
-86 -166  -123 200
164 98  -635 -163
479 271  -314 100
597 149  193 45
-794 628  -504 960
-637 521  1083 434
286 25  -510 298
542 772  363 890
-447 459  270 -243
750 -735  -91 830
517 126  1155 264
422 417  905 277
164 10  -170 -240
26 -822  -126 543
468 -365  136 -629
764 399  665 -220
484 852  170 418
156 501  -141 -123
143 -872  -212 -1185
548 -33  -115 -95
-234 -461  -626 37
-856 326  728 557
47 -575  -507 12
434 -620  -109 -299
1035 827  796 -244
244 1  -84 209
198 -62  168 -211
-401 12  411 779
834 401  762 -386
-569 58  -176 -1141
87 -292  -799 -988
234 105  -1079 -498
214 -594  -749 -621
-247 -746  379 -324
528 -998  -566 -69
-483 79  444 -790
184 -329  -71 482
660 -883  404 -212
-417 442  100 221
-1004 -433  496 36
-260 441  -470 -404
421 186  -233 747
42 -91  447 -574
353 -189  -357 -423
1190 -245  242 -488
303 223  -340 -984
-436 222  732 -157
975 -540  198 379
739 -127  185 4
-610 100  -18 -423
-606 -310  749 -496
-384 -460  -267 1155
-1221 44  723 -75
-614 -81  -211 183
300 -78  -1203 777
-280 -210  -39 -317
827 829  -520 29
548 -99  -1092 -276
102 453  -862 -757
-38 607  264 -79
-509 54  -919 75
-328 -187  328 558
-177 163  484 -72
-244 -52  -410 416
159 434  39 -997
951 576  -139 -337
-10 771  -32 -59
-551 -139  -74 -170
-679 121  -295 329
1063 284  53 479
543 615  -694 -158
455 491  -407 759
-98 20  6 -306
-466 893  -194 1244
277 466  -314 -306
155 527  283 45
8 -61  -766 608
412 -118  106 -351
-415 470  436 -130
-678 -91  389 -169
-900 49  577 534
240 509  805 -345
302 -1046  251 107
-585 -157  244 -557
-494 -441  -94 -213
-572 285  1008 763
664 407  82 -284
156 -196  -57 -205
540 -586  477 -265
-452 291  526 -815
-172 -133  -6 -208
-349 -5  31 -435
105 44  -244 -432
40 444  -132 452
-202 351  1426 461
-247 685  62 -316
562 -486  84 1151
77 332  -466 -153
-496 -72  -75 -199
284 -380  641 -18
215 -478  -394 -21
451 435  -178 -451
37 -241  607 408
-520 49  -656 348
-646 708  420 199
653 -274  396 61
317 317  -17 461
-1159 100  8 -83
-421 788  210 1122
-377 304  -90 258
191 -482  -121 226
-781 172  15 -358
-619 662  -552 46
-1438 -423  852 106
700 -433  402 304
122 73  -565 -1103
199 -694  939 349
78 283  -391 -666
-1626 -284  502 -487
1041 -113  -1013 214
-190 -554  -87 -384
390 -97  37 636
-543 -296  487 -562
239 -810  -556 -416
1079 779  563 -559
-354 717  -265 776
-936 -517  195 1002
677 -747  -348 -150
169 -522  -299 687
-936 153  -736 -142
-1048 374  -1276 -31
698 91  -831 750
-292 -1176  -89 -450
28 -414  -233 966
-912 -946  -76 262
-424 517  -297 163
421 18  -388 916
-187 513  157 678
-160 -368  817 203
486 1057  661 -29
848 663  212 344
367 -287  -180 507
497 -7  870 -325
801 -934  -325 -165
-941 1034  200 245
995 309  -170 -1221
-138 712  107 222
-437 51  329 -320
506 80  -319 -633
-559 -284  274 -52
-39 442  -614 540
73 127  -578 128
34 353  -51 -203
-498 -240  -90 -714
170 -211  67 -124
-198 306  -180 265
-472 -651  78 -401
949 269  -229 441
-1012 430  -442 132
-759 589  199 -322
151 -278  880 -196
-236 8  -677 1119
741 -350  76 -406
308 -345  -431 -882
-104 -128  126 151
-377 -33  -54 -777
878 253  2 -707
-680 -73  194 -1164
87 23  889 596
-45 -812  -63 -122
-1137 52  275 -859
197 -925  -471 -114
309 -482  1282 290
-110 287  -771 -391
8 111  600 198
-158 296  1103 15
266 -418  -97 -371
628 -339  -261 -500
235 -253  168 -621
-1616 -155  671 -188
638 -294  23 -453
-220 -297  -831 -429
-313 -200  624 490
83 1279  498 499
-593 -1091  -944 -845
58 1194  -817 -603
306 211  620 -541
-709 -631  56 146
1065 223  141 335
-303 -457  -555 511
10 -46  279 -182
-506 168  -396 -186
99 300  -54 19
365 261  -289 736
-563 485  -259 308
-216 142  -61 -810
-955 -366  -664 -344
-163 -113  901 -334
-440 -703  147 686
-155 878  -265 -301
-555 -701  85 386
726 103  33 -669
318 22  -65 137
728 177  -979 70
-641 179  -85 549
612 -114  113 -338
-304 425  1372 186
-709 -548  -12 -667
69 -816  -920 381
238 -836  -308 569
557 670  626 410
411 -226  -443 -25
-305 282  -652 -609
933 296  -87 -107
412 1140  161 -630
719 -186  -710 -51
347 13  478 -105
-80 -351  22 48
32 166  -658 -289
365 81  -62 -476
243 157  -703 295
327 606  -645 -633
-231 -1444  17 -46
-122 -84  -7 1247
83 607  -215 773
-615 -34  -594 -493
432 -365  -884 -44
-1002 -314  181 1256
-475 462  92 -313
-49 77  -172 -53
588 -8  685 14
249 -214  -214 679
471 141  -116 -452
-91 350  -341 247
-231 503  -835 477
-524 -713  135 -289
995 216  -58 172
-739 409  -98 265
-384 37  570 40
-1 -65  -610 -923
271 -39  -70 -482
161 375  134 -591
11 125  689 132
-303 -228  -540 133
-411 578  -210 200
521 -319  -255 461
-490 689  -422 -23
-352 517  431 -961
858 -284  553 213
479 202  -438 565
-392 440  -171 -241
966 106  852 697
-127 1400  328 -107
-51 -154  616 454
883 -834  264 250
1302 479  -88 -472
-220 586  -41 -1112
666 168  -900 800
-503 211  -438 -582
630 59  279 307
-1128 19  -661 99
-679 -20  -198 507
103 -75  96 22
114 -360  -233 -1045
-123 -320  493 350
198 483  -1143 261
-480 337  794 538
146 -628  936 -389
763 940  -4 91
807 -497  847 -465
-331 -736  0 217
27 238  391 -660
-308 -193  -459 286
158 340  -156 341
-300 -201  153 390
546 236  -39 -866
559 -13  1140 -338
391 352  274 -274
49 -40  212 156
-171 178  -167 -154
61 -85  35 -540
6 164  316 282
-137 -246  141 -438
942 -787  444 218
304 -570  457 -280
285 354  290 -1081
-323 -664  -750 -797
260 -527  -88 705
-45 -567  842 -133
689 72  469 -12
-917 605  -756 202
506 -451  1124 -64
-523 -595  291 715
-628 949  395 -739
681 -227  -428 715
-427 493  -172 -410
604 -80  -389 726
5 126  -165 -192
-413 525  -516 337
-53 -29  43 349
-631 18  -120 -194
-15 -508  184 264
214 -1125  176 144
1009 643  289 -617
-720 374  557 -259
169 171  389 -127
639 -466  17 -362
-257 402  135 175
293 -274  420 -910
-304 362  757 -347
-389 -221  206 -509
709 67  -531 577
599 78  595 -761
153 60  125 482
104 1254  609 224
-209 -999  -178 -447
82 275  605 -536
49 -388  1225 -66
455 -402  613 -963
310 1  737 583
-650 66  -456 -452
-453 1092  -1230 593
515 44  258 -259
-728 297  545 -307
-6 672  407 -106
546 -379  74 260
-92 -311  45 138
-109 141  151 527
-256 -702  -69 824
-938 388  522 -404
-72 916  305 1161
255 -339  -85 -198
-297 616  771 -997
490 38  560 54
-180 323  -317 -776
428 -507  -241 712
-340 -318  -201 -627
-1056 88  50 14
364 449  -46 197
1005 48  -6 -169
700 -667  296 -80
505 338  -339 -87
-851 888  -172 -118
268 -64  -258 477
-934 -826  -1260 270
74 117  -218 890
141 394  -327 -239
148 -73  84 378
-1006 453  221 229
-1124 206  -704 -164
156 112  399 -83
7 310  71 380
-291 129  595 750
648 320  104 -94
-1018 99  -708 -170
-1033 -330  -687 -136
70 126  69 -808
1086 -396  931 24
392 509  -410 -737
1051 -147  -156 -183
31 -617  399 -423
-126 -86  -306 68
318 430  602 439
-352 -329  -194 181
-209 -605  664 -620
150 -787  217 252
366 -487  -341 122
-233 642  -142 199
-172 -606  -329 -473
-606 44  -304 44
41 230  385 795
53 -94  273 -636
-11 764  -47 -551
373 758  230 -686
-21 -356  378 -638
-266 -656  333 -607
490 -92  454 -197
-108 -487  -198 340
439 256  258 475
140 147  37 -243
799 -865  652 213
-8 -196  -725 -73
-952 126  -540 280
-847 125  599 743
8 -24  -169 -552
-391 -1045  343 955
32 711  -8 -109
3 232  -861 737
-27 -177  226 -1563
-191 116  -377 629
-457 43  489 -1087
-37 254  234 378
-386 160  -1560 -433
530 423  1016 721
517 716  -161 -232
537 147  217 -158
-161 -444  247 -225
-149 1137  226 -402
615 193  -838 -152
-448 169  -22 17
-185 -261  -271 -487
94 470  -657 -366
-24 -714  -857 -1351
-960 -826  -648 286
564 -247  -797 -525
1060 -38  1146 -47
-396 -199  -146 -4
58 61  316 1014
176 445  -891 -726
496 77  535 -991
-767 -568  -271 610
6 -444  -821 462
-408 -47  65 19
647 -1511  245 -302
-21 82  315 -328
278 -179  -253 23
399 118  241 1039
-280 394  108 -511
-25 563  -732 144
-1062 1406  1091 352
495 -53  1664 799
137 -194  -702 -127
-578 62  240 -285
-349 575  -348 -193
-227 -872  -287 -374
614 -247  -845 -397
-25 -399  -65 721
-192 -682  -615 -166
-111 159  115 -930
228 -459  306 -268
8 665  -1229 437
504 -565  136 -141
-114 -338  230 100
-254 -619  -335 -1260
369 1032  298 -416
-207 -586  -488 -57
-423 156  -613 917
1043 106  -356 -334
-1061 -727  -76 51
405 -592  -284 -526
-200 510  279 -428
226 -872  -489 216
-258 130  270 -184
-1117 -723  159 -567
-435 561  510 327
-482 -712  119 956
-372 -198  1002 -542
-1323 -727  901 167
783 -807  443 370
-61 97  -121 596
-71 -151  -609 -315
-46 -642  -349 -206
347 -615  810 -250
-123 -463  85 -141
-17 -125  -607 242
-724 -744  415 -142
701 -93  225 204
381 160  -960 -471
-631 -224  849 -780
-576 1122  1012 -485
-664 34  -568 237
7 -192  511 -91
-1013 -816  -495 -720
283 1344  496 31
-614 -255  213 157
-156 -385  -706 -392
-201 352  -122 -238
1161 -403  -426 605
-337 -769  -125 -24
-402 -1019  -761 479
-189 -486  -475 312
360 492  0 277
-214 91  285 -15
139 428  -6 -410
-62 546  906 359
-92 -66  800 -661
-912 -786  555 -577
-139 683  -92 -255
-111 -404  -927 -95
