2149 -3019  3379 -87
1103 338  -955 -1388
4662 -2598  4003 -1630
-1038 -3140  -943 -620
-1193 -5012  3444 4959
-1655 -2982  -5033 1
-970 320  -1403 -49
1130 1806  -2127 2830
-629 3667  2607 1856
3567 130  4746 -1958
-6807 568  1287 1952
-3615 331  -117 2502
109 -739  207 -3294
101 -357  2321 3064
-2686 -6415  -1498 7383
-484 5303  851 414
683 -614  4286 -1197
-518 389  182 -3238
2717 5395  873 4279
598 -1134  786 2648
4952 2365  3271 -3136
-641 -1259  -3291 -3546
-1271 5431  -62 571
272 -1094  4843 -1117
2498 3427  545 1491
3258 -1607  -1541 887
2604 -1058  -5168 1061
-2339 342  1712 2521
-577 -4578  2537 -3735
6359 1141  -1685 -1144
-5746 3983  3293 -1954
3088 -1249  -4116 6305
3435 -851  8347 3749
3838 3268  217 6546
2623 -2105  -2169 795
3252 -2268  -4015 513
2448 6321  3340 3213
6692 -153  3593 2122
2075 -5818  -2722 -454
-371 -538  1097 3811
1497 7878  -2129 6
-1156 -931  -2107 3040
4428 2654  2645 -621
1135 -1413  -1585 1011
2103 -4337  1860 621
99 1049  -4437 3042
-1242 -2159  4347 -1009
-208 1519  910 -893
5538 602  712 -3665
259 1962  -101 -2919
302 1534  -5018 3288
473 3506  1163 -180
504 -2926  813 5533
5771 4700  450 -22
2106 3477  4114 -2092
-1456 3518  -4549 -2219
-4952 1096  -3869 1420
2851 6168  490 -2395
-2432 -3983  8578 -2275
-6711 487  4581 -655
-537 2353  -2896 485
3669 729  2609 2505
-2355 -3708  -1442 6963
627 -1346  2198 1060
3618 3218  76 -2098
3806 -5989  -2553 3371
3914 2871  -1524 -243
-1238 3160  396 3942
1404 -10632  -3882 -3537
482 1609  -3804 -1204
445 5204  538 208
-1394 695  -2843 -1519
2550 417  -5257 -2262
-1464 912  -91 -514
-2513 -3299  -352 -1732
-125 1786  3796 -1005
-125 -3266  -1409 4173
-1013 -3610  6224 912
-8619 -701  425 -1140
2633 -1635  -2756 -1109
-1286 60  -2101 -845
5974 -7538  -2943 5545
684 2738  4634 -3265
-1448 -5088  -2249 -2151
1238 3273  8096 -651
3428 2738  3000 2731
-1912 -3679  -604 353
-498 2501  2388 631
87 -3244  -2049 -3255
2397 -3362  1852 1298
-3425 1418  -978 -1260
-980 -2132  -5657 1657
3165 6202  2462 -1041
1468 88  2846 1905
-134 690  3098 1380
1750 -1664  2425 -2216
3322 1956  -2461 -730
-1677 2708  -1568 -3389
-3119 2033  2211 3078
-2730 715  1238 493
-917 -1957  -521 -3533
-1242 4639  -2276 -1441
1453 -891  -1804 2494
-2758 -6287  -2623 2400
-1639 -333  -390 1657
4908 -4691  1994 -3298
1095 385  -2830 2090
-2440 -401  -210 -3649
141 234  -1392 -73
-2146 -1984  -3093 413
-3642 -462  -1402 3972
-676 5100  564 792
-2180 -5382  -101 -6271
771 1601  -3301 -4487
786 6665  3504 -662
510 -804  -5310 1372
-1491 3389  -2242 6315
-4660 -1807  -127 -774
-2120 4722  -3196 3612
-1397 3172  -2135 -757
-520 2913  -3119 4561
1324 3064  2669 5711
104 -1385  -1164 -153
-4152 1164  2882 1308
1161 -1079  -979 671
328 1858  694 -34
2715 -1866  641 1454
-1236 2294  2212 -1323
3768 -1595  -2522 5234
4154 -354  3000 -3045
-237 -4666  1311 446
-168 4227  -17 -103
335 3588  2482 2032
-3316 -83  2003 -1570
3725 -3995  4037 1746
1863 -1577  8174 -1596
293 661  -377 1470
-1490 -2419  3356 3981
-1415 2369  2910 1537
-4913 -607  -2093 -48
1759 -921  1880 1713
1811 -1407  1769 1854
879 -617  -190 -914
4023 2489  7077 4539
3268 4735  262 -2111
-3666 1081  -4039 7413
-1782 -4391  3138 5404
3857 5519  -3021 -465
-1898 -862  -702 1673
-5237 309  3799 2670
1134 -2046  1606 4142
822 2035  -2802 -297
-119 3086  9 -335
-576 130  -592 -5416
1307 -4682  176 835
3944 2559  724 2033
3827 -3509  2701 182
-1719 -1354  3143 4257
1822 538  3506 447
-958 -186  -4058 2730
1737 -6404  4518 1717
1634 1194  1614 703
1131 4121  -979 4151
6579 -3867  -3105 -1086
1888 2485  -672 284
1837 -747  -5636 -7588
1986 124  2896 2639
134 3693  2641 37
349 7052  6959 -1121
-384 4122  1047 2281
1096 -9  -310 -1716
1575 -1101  93 -3036
-1031 -3271  7799 2217
5691 -5101  5602 2486
1609 2225  3019 -1137
5547 -2080  -540 4831
-5528 -3663  2479 3462
5173 3894  -395 4587
2691 1963  -3702 -1004
840 5179  2721 -3833
3582 3885  3498 7496
-1197 -1418  -203 2429
-334 -2978  -2680 -2954
-2739 390  -1519 -5779
-515 2851  -517 991
-1366 3675  2039 -2016
-81 339  -2944 45
-2539 -837  2698 2928
1181 -1609  2522 247
-4216 288  1416 3486
3341 -1010  -4209 3309
-2006 -1569  803 -6494
-3774 -729  301 -973
-4079 -2836  2466 1153
-7402 -1354  3434 1206
8391 -508  -3008 -2759
-1658 -748  2310 -1144
-1061 1207  -5248 1304
-1291 -773  451 1093
-2714 3482  6979 3012
167 -3369  -1003 1608
-1326 2315  -5268 -5057
1602 -675  2108 1903
-463 -1494  3103 -2854
-5493 -5907  -1507 -3990
-4191 -91  1651 4228
91 2867  -3568 -488
-484 -457  -484 -4394
2849 2460  1576 674
-1413 4266  -2188 2957
-49 -3572  2106 4227
-3087 3019  2751 1506
2318 -1584  1258 -475
2849 2943  -1772 -476
-2073 -367  4892 -3703
-3274 -3352  -2733 -2002
-981 1517  -3389 1776
5601 -529  4973 1635
5401 -1493  -1343 -874
-941 1501  -600 1323
1115 2583  3689 -6105
1376 -1075  909 -1558
828 334  -150 -182
573 -1371  -3276 4814
1225 -2446  3005 2690
-868 -2548  -1337 -4897
-2642 676  225 2597
1253 -322  -5013 4338
1217 -317  3706 852
4475 168  -2540 1312
-5652 4524  1853 -2178
-3887 1460  4405 354
720 1065  2032 2211
654 -5492  664 -2344
109 1935  -4421 -4685
-2091 -5331  413 1547
-996 -2609  -1519 -392
-660 3593  2774 3038
-1598 -885  -3529 237
-3487 -4731  -9386 1725
180 3750  -5141 -3556
-5246 1102  1885 -42
-137 3724  1218 2638
458 580  2943 -2556
-2624 -4473  -440 963
1363 826  3201 2915
-4971 8944  286 1462
933 2183  3069 -108
-2853 1174  -4396 597
-2561 -2422  -1281 5689
-3506 -1424  -28 79
173 -92  -6683 -3497
2022 4398  -1690 3105
2347 -882  -1492 203
-6365 5543  -2181 152
-937 -5287  -3193 673
2901 -4946  -1762 -568
-2189 -520  3601 -736
5147 2725  1183 -5776
-7246 -210  5230 -785
3153 -5277  955 1922
851 -426  994 -4407
348 -3216  1625 2574
-1912 -4517  6426 -2996
-1761 1488  4623 -3434
919 1256  5509 -320
4810 4023  -5684 -676
-2240 37  -1895 3714
2633 -3248  2694 3470
2013 -2711  -20 6546
2223 -3124  -2562 5720
-6885 -994  -2199 5068
-4155 -174  -2401 -1456
17 1929  725 -128
-324 5434  2990 574
-7729 359  -2458 2382
1633 2158  -317 -2974
