1060 -638  -110 -245
274 -168  -95 233
530 533  371 -22
739 187  458 -607
18 -548  -468 674
-87 -788  447 649
-117 -833  107 406
-212 1118  -498 522
445 642  -81 395
185 -328  314 -1099
596 -136  509 -423
-27 -384  -114 439
-90 2007  279 144
334 849  -241 577
-719 697  960 277
666 748  198 -515
442 662  1274 355
315 105  10 -518
-238 -4  -124 -371
-704 165  166 14
1162 -473  20 -91
633 -567  936 472
-57 -8  -66 851
-174 44  169 -143
-156 -116  -230 214
-363 -114  -359 -100
-572 -477  -325 335
-100 432  134 324
-610 610  -411 -7
-1224 332  142 -359
666 -43  603 216
-1194 -951  -522 -414
-669 159  -273 627
118 133  662 -377
-385 -59  -580 1252
574 -154  -106 57
-388 -148  142 67
897 -95  519 172
-544 76  -232 -154
-830 37  66 -158
227 -81  -679 -529
511 325  -1025 328
-115 -147  -495 -298
214 -628  -71 202
-353 335  164 78
-898 690  683 -593
-35 -253  -67 -405
-81 54  502 8
398 94  -64 384
201 207  -298 -181
-191 -195  -309 748
364 -1214  -197 436
74 -998  -373 897
137 -504  -364 -47
1510 63  282 47
-360 520  -177 -310
70 -287  -718 119
-567 77  -447 255
643 231  -614 -418
-1400 -63  -514 788
314 96  615 119
546 -237  -326 385
-385 888  -621 4
-126 -169  118 -428
400 -717  113 -381
785 245  -191 -641
570 -90  26 -467
161 439  -810 -364
284 470  1030 285
-160 616  28 -882
1233 -396  272 727
-799 -429  125 100
-357 -3  -316 -973
-239 -185  631 450
291 -143  498 310
-114 -510  453 -59
5 459  -269 717
-333 -310  -204 194
93 -442  -633 -149
441 -892  -308 -10
65 -112  -781 541
-958 168  -724 163
-310 -95  196 -306
-280 1024  -449 -845
-143 -680  -186 735
969 -28  247 -415
-373 1012  32 -21
27 154  465 -8
-200 530  671 138
210 -220  64 -450
493 390  370 742
-665 95  -310 3
678 203  -212 142
988 -169  -187 412
-632 387  -455 -201
24 -263  219 -582
-194 262  -514 -96
-133 -794  -297 632
921 -233  375 285
-614 -622  553 -37
169 -241  142 512
-293 -941  -17 490
-29 743  293 830
-265 -280  458 135
42 336  -238 881
284 509  -127 168
414 -487  668 201
25 366  -811 -130
119 131  459 -300
294 739  141 -247
-210 -1  493 -505
-1 -394  471 -126
-189 200  351 -632
-877 -96  -875 -133
668 379  433 533
-767 -4  -327 -632
316 167  -240 -440
1052 -91  660 633
259 -678  683 137
29 115  -502 -580
-761 272  298 -33
-216 -61  178 -1250
566 -590  -361 -425
-129 338  536 548
-38 -246  111 -80
-772 161  -91 -120
-330 173  524 -313
336 102  528 -194
148 835  381 -219
1157 821  177 14
389 -361  -202 -128
-1604 -340  -244 389
-835 -165  -244 -194
112 107  163 1025
-119 -438  -470 -173
13 -429  187 658
478 179  -55 252
228 -244  -477 -111
581 -618  101 562
593 -539  -336 -12
936 60  -609 -480
492 384  155 -70
229 -1203  186 -314
587 -383  52 91
