1467 -3821  1049 3695
3940 1514  -913 5369
2707 -1087  456 -1244
1809 1866  2741 -3300
-5799 -1699  -349 -230
1183 10  -1846 813
2860 8403  1030 -4168
-2072 -6191  -5214 3526
2051 3298  -1487 2435
2137 -3382  4634 -4729
147 1753  1367 484
1017 727  -4354 -59
1438 1045  -3009 -415
5227 1999  -230 370
402 1309  -3585 3098
-1969 -6232  3726 -2030
-1177 91  -2684 -2975
997 -1574  -4018 -6173
-939 1158  3077 2916
2998 -1661  -141 3330
2544 -1331  -1116 895
45 852  -1628 789
-1101 5990  70 351
-1452 2826  3429 2596
-540 -1830  -6465 -2604
3206 -1741  -5568 95
-2971 -329  -2263 -5280
3947 167  -2449 -86
-2687 1149  -638 -4817
-763 1376  6517 2470
-3556 -2030  -419 -1854
1076 -3104  -2979 -5214
1621 -473  -4829 -2227
459 -5212  -1359 2303
-469 -1342  179 225
4162 -512  -260 -1746
1994 377  -4083 587
-4147 4018  3730 -2330
5723 4331  -1981 3124
-3848 -3043  1275 1905
1694 3916  393 -4550
-2315 1978  -4096 1700
-4252 -10  -248 -1367
-2525 1393  655 50
-2131 -2390  -2733 -4083
-366 -1271  -2232 1161
-69 -6670  2487 1436
567 878  -1332 -3158
1926 379  552 470
-4303 -920  -4361 1182
889 -586  74 852
1799 -657  -4529 3248
2110 -665  3422 -1887
834 -2298  515 -2985
2662 -2664  -2360 -645
-3635 -794  -1677 -3078
-821 -680  -2147 -1568
-2856 2230  -38 2086
3386 1858  -2123 753
2318 -807  -2823 3679
-590 -5924  509 2331
-477 -2112  -2693 -3777
-3989 -2152  -334 -646
2517 2202  -1231 -226
3290 -1429  -1461 -3192
2350 -3001  -5496 -501
2194 90  -878 1576
3421 1279  -3124 938
1309 2641  -2996 -1120
-5823 4865  867 1230
-920 -2969  159 -1953
2201 1708  -6469 5055
-623 1862  3451 -288
-1801 3755  -1795 2678
-2780 -1903  -4690 2354
-3705 -1521  880 2654
3939 1737  1870 1216
-466 -4962  4323 -1383
-177 -172  -1691 -1981
-1468 1714  -5066 2495
-5154 -7829  -537 1379
271 -921  -1255 3420
-1879 206  -3688 1364
-3854 -3017  576 -346
576 1198  2024 3497
2382 -1839  -3226 -2570
2450 -1078  -549 1910
-1492 1760  -3740 -414
-915 -2742  775 2402
-5790 1046  3503 -276
2380 2077  2243 -421
2739 -5616  -1342 3571
3861 -1121  835 -771
1626 1887  4393 -95
5010 1679  577 -3583
-3311 -3252  3553 2465
1006 -4234  3501 828
-6303 2412  4546 -779
-2824 -2068  -3447 -1253
-3645 -5880  773 247
1726 24  -68 1497
-1488 -3245  -7559 505
-4653 3044  -1082 112
-970 4013  -1121 -2542
-835 -4816  3493 -3835
97 -382  -3156 -2458
1378 1104  -2349 4630
157 -5381  -5098 2178
1864 1415  2081 -1644
-106 -2644  1978 -1442
555 -4298  4249 -746
-2431 -3860  -189 -3733
5063 2342  4089 2490
-2904 -20  -759 2656
1604 -501  4304 -3388
-646 -3013  -2272 -3837
593 -2073  2056 -2961
4878 3295  -4538 2097
-2314 1393  1484 3989
-2549 -3723  -4826 1543
-1754 2301  -1287 -1455
-5698 -1706  1445 -1117
-1572 -4609  5368 2128
-1475 -80  2004 2409
-4975 542  -2016 4790
-488 -1965  1537 1301
1237 3607  -1083 1740
2093 -4371  3790 -6405
2761 2928  -2543 -3043
-5272 2233  3180 -3345
-1926 5461  2443 868
2126 -6470  -6913 5729
3694 1298  564 1995
1141 796  69 2356
495 -949  309 3330
3146 1096  -3520 478
1990 2421  -2143 2270
2627 3127  3414 1529
3398 -813  693 -3243
1430 -1913  -2657 -1331
2436 71  244 -234
-3536 2182  103 2572
-2584 5332  768 1580
-920 954  -1126 3263
1500 873  -3302 -1165
163 -3951  -4128 -8147
-660 722  2646 -4949
-1194 -2787  4823 1443
364 1300  1650 -1877
2505 5904  -3795 -4687
1485 -4541  2140 1473
-696 2098  354 -1014
-318 -5791  -1582 622
38 1284  2602 2343
-3716 -863  -2499 3194
1828 -1973  -5321 -304
-1357 2114  -896 -1461
395 4059  -2730 2472
-5240 915  -2747 333
-5376 -2759  -1833 4807
1935 -3225  1257 -1653
4745 -3148  -2203 606
2165 950  -6955 -605
802 -1189  -475 -1385
155 836  623 -289
-1503 3151  2502 -3971
910 -2046  -3043 1018
-996 -2551  3439 -253
-3614 691  2314 -1638
-1285 -3135  1448 -1727
364 4324  -2927 759
4002 -173  -1374 2146
1573 -6257  -1165 5346
1655 -1940  460 2710
1645 1783  1694 -110
3707 696  5000 3884
2498 -7398  299 1169
1152 2761  4215 -2673
308 -1842  855 -2783
-805 -2638  1726 -796
-9612 -130  1047 -2616
-42 1589  -1348 -4181
1653 -3403  637 187
-2047 503  -863 1644
2778 -3263  -3177 1476
1617 -1662  -1826 -1115
-1663 1308  1161 4749
-58 -5873  -895 1612
-1530 765  -2968 -182
3929 1913  3758 2898
7413 2052  1666 -130
-2484 -7183  375 1428
1364 -1427  -1240 3856
-1418 -1297  883 -3604
2978 -3725  -420 -101
2674 -396  -548 3085
-1741 896  -5180 628
-897 1508  -3147 368
-1981 394  -231 1529
-4910 903  -1712 -426
351 1737  -1059 3363
-1191 3675  -2944 -759
-3095 -1330  -1099 -440
110 600  -257 2434
1568 -4634  -4639 -4810
-4102 971  -1348 -1026
3242 3383  3623 -1388
3833 -1331  1502 2587
-749 5611  4259 -5029
1371 3127  7375 -2566
1969 -683  -290 964
-2122 -2914  76 -221
-1289 -540  483 -3913
118 -4625  -770 -5983
-3901 1298  7290 -4756
-1755 5601  -2104 2046
-106 -1170  -1744 -2439
1631 -1551  2184 2076
1946 -3484  727 4356
-1594 -3109  347 3471
1113 -1614  2283 155
1394 1665  1189 -1576
4404 -3539  -3067 -5938
-1725 -2081  -616 5128
-1005 3750  1295 -4911
6113 671  897 -1394
738 1844  3768 1494
-1099 -1906  -3578 2461
-449 2633  -1577 -2171
-3551 583  1462 1646
-4382 1947  2423 -337
-679 3302  568 -3186
-5931 454  -525 -1946
3328 4894  509 4659
-1112 -1011  6976 1498
-752 1093  -1590 -4601
1726 -1588  5184 1359
-424 -4726  797 -1949
-1822 335  1317 192
-1889 3308  1336 -587
3362 1622  -2177 -833
523 1010  -794 -7128
4801 -731  -4293 -1335
808 2667  2457 11907
756 -1302  -3703 -2715
4390 -2189  3537 4330
1473 -5399  -2457 1186
-3251 1455  95 2730
2082 -4052  -1623 2543
-512 245  4245 2389
2998 -3678  5743 954
291 610  -151 7509
-6983 6209  1000 2902
-2890 -2435  -1946 2481
-3498 -619  1295 -2129
1610 1533  -2742 1955
-4199 -1169  1254 -1346
162 -4414  3485 -2379
-23 2392  1088 1230
3581 487  -1923 -1233
-502 1150  -377 -4137
1092 4601  367 -4273
163 -1372  -2779 2203
3748 3794  -296 4553
4111 3049  4197 532
3449 1281  -1330 -1167
-2280 -935  1119 356
-42 2059  -3335 3112
-2636 6392  -1391 5345
211 -5610  -2039 -1545
1265 1650  2519 1236
1477 -4240  -351 -3692
-17 2254  -1894 3624
3620 5076  2540 592
-2307 -6760  -520 3082
4616 2138  723 4275
-1561 -1094  33 -1054
3432 1953  -3070 -1460
-50 -914  -16 -2540
811 5141  1382 -6655
-1630 1472  -1787 -3266
1016 2034  1301 4781
7474 356  4242 -3691
891 2711  -3659 1593
-1296 -1649  3570 2759
-6076 1677  6010 1292
1743 3244  1056 408
994 3782  1846 -4058
-582 -402  -737 888
-330 1399  986 -1623
342 5691  -6029 -265
2248 -946  -6763 -1382
3387 1296  346 7026
-1370 2456  -2226 -1205
-1203 3813  -2674 -7200
2126 -3600  389 -1954
-1099 -2413  3119 -58
-8 -1036  8991 -6837
1035 -619  -2202 -1383
244 3061  -1200 -2203
-434 3833  2333 -4597
1240 3984  449 566
956 708  -2389 -3895
-516 4267  -10263 -987
3070 3920  298 -3659
3848 -399  -500 -235
-956 -1065  -1370 5754
-1782 -1210  1889 8646
-7080 5360  -5105 2149
272 -145  1968 -1008
-4399 2606  -271 -550
-1437 1150  -2036 693
-1646 -439  2935 23
-1330 136  -9 -5278
1765 -1898  707 2160
-5411 973  -2533 -2845
3606 -4957  2152 -692
-109 268  -2448 -298
1594 -1037  -7959 2016
1027 3330  5129 -254
328 -5521  2091 4396
2028 -1756  -2013 -5526
4533 751  3412 2528
585 1001  -1356 -3032
4166 -2924  258 -2964
-244 -1296  4983 -4648
1950 3136  3849 -887
825 1753  1373 5526
-407 -1452  -1800 -3627
2722 1131  -3171 -4421
4035 1713  814 2616
4435 5994  1564 3343
2797 1581  1297 -1444
-841 5044  -3681 2863
-793 -633  -58 1431
1104 2681  -5417 -1667
-3713 -210  -3000 5480
-1582 1212  4027 -627
-3146 -3965  -3539 -6475
1215 -5286  -8029 -370
-3322 1474  -3432 1823
-1263 -3826  -2122 7005
-456 1359  -1132 -2338
-1860 1041  1612 150
1 -12  6877 -2839
1262 3215  -527 36
-672 -5801  443 422
2913 370  -1146 3090
2252 -3589  -217 -847
-1196 -1878  -3839 179
-2026 -2840  2949 1982
948 1261  -4159 627
-4161 94  -4948 -3680
-370 -113  -3172 -2601
66 2707  1585 -2871
-678 -4434  -1267 346
-3778 -1977  2644 675
5906 -690  2515 -142
1296 -584  2080 2658
-1978 -1485  435 3744
2910 -4823  -5438 -4131
4374 2347  1528 -2198
5636 3538  -4256 -3921
-2898 -1336  3808 -2492
1550 623  -3024 2368
-3965 -3957  -15 -4207
4286 4332  -4074 -1753
-4473 3109  4059 3038
1388 -2265  -671 -2841
-3747 -2818  2279 -830
-1065 5103  3543 45
1329 5385  -1487 -2147
1451 -2405  -2055 -155
653 561  2037 -1441
1282 2015  -595 2443
-796 143  -4202 95
-3153 -1596  3696 -774
-2064 1085  -206 1087
-4617 -354  3271 -507
-1030 1005  -2329 -1522
6383 -641  -3905 -1786
2477 196  -3693 3525
-315 1108  2209 568
1409 1602  4306 3460
176 -191  1769 2229
-1158 -1145  -168 2633
-3513 -4779  -2507 5230
5066 1489  62 -4378
-836 -4405  -1585 -2422
-5180 -821  1108 -3539
4348 -642  1882 3560
3354 -2782  1758 -462
3837 -1875  -1286 -2795
-3431 810  -5949 -1986
-4298 -3202  -69 1883
583 -802  -1435 2366
2538 -5139  -359 3282
-488 2767  -1366 1632
1263 4376  130 -3854
1071 -1822  -3971 -475
3959 1421  7155 -1141
-575 -2661  -1584 4413
-3754 -353  -256 1837
3388 2739  67 -104
-1455 -1455  3011 3010
605 5569  921 -2946
2945 -932  4029 1387
-6749 3884  -475 739
-1691 -2032  948 -1687
1610 2478  -1169 -2431
-244 4794  1325 -1630
173 7947  7879 1280
-2690 806  4156 250
834 206  -563 3253
4251 -4983  -2615 5435
1038 -1860  413 -3450
2754 -3760  -2043 -1028
2902 -494  5639 -364
-1276 -1996  1941 -3303
-3669 -2998  -4679 -3433
-174 5005  2438 -1192
-1318 -2982  2436 -185
1858 -1006  1884 2451
2771 567  -2574 1126
-1029 4339  -2138 2737
-188 -942  4610 3968
2590 3976  -5051 283
-1986 -5293  1807 147
3940 1832  -4962 2853
934 1004  -496 -3148
-3357 2448  3731 -1328
-1318 -4140  -1231 1545
2996 771  1407 -2408
1840 2740  3226 -1430
-1343 1623  -3577 -3957
-501 -3606  -4168 -1476
1960 12  -2360 227
2821 -1748  809 -5757
1357 2173  1928 -2203
-4360 -628  -1139 308
1868 2344  -2997 2351
-2760 4574  -1540 -789
-3830 -4573  -1686 -2705
-238 -2090  -3681 -752
-2225 2122  -1810 2179
-2179 1023  -173 466
4325 879  635 -4255
742 1930  3261 -3336
-590 764  -669 1339
3408 1314  4795 1207
-1238 763  2863 1787
236 -7802  2260 84
742 -5495  1 2857
1902 -3226  918 -692
190 -2313  2799 -5235
-4281 -4369  -6200 1104
-788 -877  1850 1593
728 -2776  3211 2850
-873 1357  -574 -2939
-1017 2948  -2289 3101
2054 -934  4793 4620
-4410 852  -5073 5684
84 -2005  -5409 -1804
-4543 2790  520 -1467
-181 2458  631 -2173
1778 1513  3855 1636
-3088 261  4424 422
-2119 1228  4218 -2281
3212 950  2712 -643
-3659 -1038  -2855 1189
983 3712  -113 5039
-139 -1384  -1411 -2321
2300 -1089  -411 4051
-914 -1047  -4033 165
-3443 4284  -1161 -3198
377 -3292  3557 4733
-766 3029  319 -400
1891 -5137  -3239 119
-27 2477  3973 4554
2212 -893  -3507 -2982
-130 1544  3896 -73
621 -2633  3637 1946
-425 1293  1118 2869
1229 736  -6291 2319
770 987  -3739 2821
-6345 335  -6572 3698
-3953 -724  -1853 -901
-1198 -2561  -734 3698
1915 -3669  -187 -1272
-624 -1932  -32 2579
-263 5678  -2991 1573
1795 -3524  -4964 -3634
2344 -868  -1256 -2010
2418 1276  2752 504
-289 -3496  -2835 445
-1919 -1609  3090 -1633
-3173 2033  -1043 4967
469 -3933  1952 86
1771 1058  3250 -8479
3641 -1548  421 -599
3341 -249  593 1385
-747 -5104  -478 2068
134 -460  2606 -635
-1981 1373  -1636 -4306
-3442 -875  -223 864
-3285 -383  -1369 -3605
-4382 -1116  -834 -4790
-2460 1244  2139 -4019
3157 -1829  1706 4150
1807 7790  -4383 -1097
888 1974  525 2638
-3676 -1345  -1192 2991
-175 -1109  -1699 -1783
-3216 -1458  -3157 815
1178 2443  3368 -4789
511 3657  7870 -1656
-1882 2359  1663 5755
-1178 -2291  -4515 -534
-3639 -1602  -746 1505
-123 971  435 478
-1682 90  -1655 4099
-5429 -2918  -2201 -2869
1491 -9051  -7918 1732
-867 -2622  -1779 -4764
5823 -73  230 -2194
6350 -2896  2166 -4022
-3833 2162  -1040 1594
1156 2435  -6172 -3990
-2676 -4157  2190 -2402
2079 -676  -4566 -203
1260 -2984  -875 2104
1014 2152  -2370 2757
-2564 -3458  7903 -3433
3023 -5351  992 -1706
1281 974  -4381 -1106
-2345 -2399  -3749 2607
3581 2439  814 -5214
-436 -3628  2927 1818
503 1142  2437 1779
